STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
71183099999,2023-01-01,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",39.6,8,38.8,8,1007.2,8,3.3,8,999.9,0,5.4,8,8.9,999.9,45.9, ,37.4, ,0.4,G,999.9,0
71183099999,2023-01-02,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",35.4,8,32.5,8,1015.7,8,11.7,8,999.9,0,4.6,8,7.0,999.9,39.7, ,33.1, ,0.03,G,999.9,0
71183099999,2023-01-03,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",36.9,8,31.5,8,1017.4,8,13.4,8,999.9,0,3.8,8,6.0,999.9,39.6, ,33.1, ,0.0,G,999.9,0
71183099999,2023-01-04,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",35.5,8,30.8,8,1012.5,8,8.6,8,999.9,0,7.5,8,9.9,999.9,40.3, ,33.6, ,0.01,G,999.9,0
71183099999,2023-01-05,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",27.0,8,23.5,8,1014.6,8,10.5,8,999.9,0,8.9,8,15.9,999.9,37.4, ,23.4, ,0.36,G,999.9,0
71183099999,2023-01-06,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",26.8,8,25.2,8,1015.3,8,11.2,8,999.9,0,2.3,8,4.1,999.9,31.5,*,24.3,*,0.02,G,999.9,0
71183099999,2023-01-07,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",28.9,8,25.5,8,1018.3,8,14.2,8,999.9,0,7.5,8,9.9,999.9,35.2, ,24.3, ,0.12,G,999.9,0
71183099999,2023-01-08,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",18.6,8,11.3,8,1026.5,8,22.4,8,999.9,0,7.8,8,9.9,999.9,32.5, ,15.8, ,0.01,G,999.9,0
71183099999,2023-01-09,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",25.6,8,20.5,8,1014.6,8,10.5,8,999.9,0,7.4,8,11.1,999.9,30.0,*,21.0,*,0.0,G,999.9,0
71183099999,2023-01-10,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",23.3,8,15.2,8,1014.9,8,10.9,8,999.9,0,9.1,8,12.0,999.9,32.4, ,15.8, ,0.01,G,999.9,0
71183099999,2023-01-11,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",14.6,8,6.6,8,1025.5,8,21.3,8,999.9,0,6.0,8,8.0,999.9,27.0, ,9.7, ,0.01,G,999.9,0
71183099999,2023-01-12,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",19.6,6,14.4,6,1021.8,6,17.7,6,999.9,0,9.1,6,11.1,999.9,27.7, ,9.7, ,0.05,G,0.4,0
71183099999,2023-01-13,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",28.0,8,26.5,8,1006.7,8,2.7,8,999.9,0,9.3,8,11.1,999.9,30.6, ,17.8, ,0.7,G,3.9,0
71183099999,2023-01-14,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",22.6,8,17.1,8,1016.2,8,12.2,8,999.9,0,5.7,8,8.0,999.9,30.4, ,19.4, ,0.09,G,7.9,0
71183099999,2023-01-15,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",16.5,8,10.3,8,1025.6,8,21.5,8,999.9,0,4.5,8,8.0,999.9,24.1, ,6.8, ,0.0,G,7.5,0
71183099999,2023-01-16,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",14.5,8,9.4,8,1022.7,8,18.5,8,999.9,0,2.9,8,5.1,999.9,24.8, ,3.7, ,0.05,G,7.1,0
71183099999,2023-01-17,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",20.5,8,14.6,8,1007.9,8,3.8,8,999.9,0,4.1,8,7.0,999.9,27.3,*,14.2,*,0.0,G,7.1,0
71183099999,2023-01-18,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",30.9,8,27.6,8,1003.8,8,999.8,8,999.9,0,5.0,8,8.0,999.9,34.9,*,28.2,*,0.09,G,7.1,0
71183099999,2023-01-19,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",30.2,8,23.5,8,1015.7,8,11.6,8,999.9,0,5.3,8,8.9,999.9,35.2, ,24.3, ,0.01,G,6.7,0
71183099999,2023-01-20,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",28.2,8,25.5,8,1005.0,8,1.0,8,999.9,0,11.4,8,14.0,999.9,32.4, ,24.6, ,0.27,G,8.7,0
71183099999,2023-01-21,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",26.4,8,22.1,8,1018.0,8,13.9,8,999.9,0,5.5,8,11.1,999.9,29.5, ,19.4, ,0.06,G,9.1,0
71183099999,2023-01-22,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",28.9,8,25.7,8,1019.3,8,15.3,8,999.9,0,4.4,8,6.0,999.9,31.1, ,24.8, ,0.01,G,8.7,0
71183099999,2023-01-23,45.4666666,-73.7333333,32.0,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",29.6,8,26.0,8,1009.6,8,5.6,8,999.9,0,7.0,8,11.1,999.9,34.3, ,27.3, ,0.05,G,8.7,0
